1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
230	-0.553380	47.389131	5.816324	0.012144	2.0
231	-0.595878	46.626040	5.881955	0.008727	1.8
232	-0.555900	47.626028	5.796246	0.011204	1.9
233	-0.562094	48.626026	5.712998	0.009682	1.6
234	-0.574609	49.626026	5.632107	0.009556	1.6
235	-0.563173	48.862985	5.693621	0.008831	1.6
236	-0.553279	49.850961	5.614226	0.010277	1.8
237	-0.567627	49.089109	5.675252	0.015356	2.5
238	-0.528130	48.326018	5.737721	0.011005	2.7
239	-0.581736	49.325194	5.656200	0.016764	2.4
240	-0.550127	48.562102	5.718248	0.013686	1.8
241	-0.573925	47.799010	5.781672	0.007453	1.7
242	-0.557184	47.035919	5.846520	0.009879	1.8
243	-0.585254	46.376593	5.903732	0.010748	1.9
244	-0.549993	45.613501	5.971362	0.017939	1.7
245	-0.581898	44.850472	6.040554	0.009535	2.3
246	-0.584110	45.850472	5.950195	0.011525	2.0
247	-0.560453	46.844227	5.863039	0.014925	1.8
248	-0.559892	46.081135	5.929735	0.006595	1.7
249	-0.574980	45.318051	5.997965	0.012642	1.6
